"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"2267",-0.041,320.15,-0.153,-0.859,-0.436,0.225,-0.166,-0.29,0.398,-1.353,0.708,0.376,-0.545,-0.212,1.222,1
"705",0.179,278.42,-0.153,1.841,-2.648,0.447,0.712,-0.29,-0.976,0.411,-0.728,0.616,0.732,-0.466,1.391,1
"7252",-0.085,88.29,0.299,-0.45,-0.247,-1.029,-0.011,0.973,1.391,2.378,-1.902,-1.845,-1.845,-0.582,-1.56,1
"3409",0.355,84.71,0.299,0.368,1.207,-0.365,0.299,0.131,-0.67,-1.44,0.948,-0.053,0.712,0.226,0.598,1
"4737",0.487,82.56,-0.605,-0.778,0.322,-0.144,-0.27,0.131,0.826,0.233,-0.656,0.243,-0.135,-0.744,-1.681,1
"1156",-0.966,274.28,0.752,-0.123,-1.068,-0.07,-1.923,0.552,-1.159,-1.262,0.601,-0.007,-0.908,-0.42,0.967,1
"5666",-1.142,72.11,-1.51,-0.778,0.322,0.004,-0.373,0.131,1.651,0.101,-0.511,-0.461,0.628,1.566,-0.704,1
"2040",0.972,61.78,0.299,-0.123,0.701,0.373,1.229,-0.29,-1.281,-0.764,1.39,0.646,-0.044,0.781,1.573,1
"7931",-1.495,60.94,-0.605,-0.287,-0.752,0.594,-0.321,-0.711,0.887,0.96,-1.128,-0.701,0.208,0.848,0.409,1
"4532",1.104,76.05,-1.058,-0.287,-0.815,0.594,1.074,-0.29,-0.655,1.377,-1.468,0.442,1.926,0.342,-0.391,1
"2203",-1.054,65.62,-1.058,0.204,0.638,1.037,-0.58,-1.132,0.215,-0.819,1.134,0.851,-1.116,0.319,0.741,1
"2789",-0.129,207.18,0.752,-0.45,-0.183,-0.882,-0.528,0.973,-1.739,-1.196,0.826,-0.375,-0.871,-0.42,1.098,1
"1159",-0.79,294.2,0.299,-0.532,-0.12,0.447,-0.993,-0.711,0.215,-0.947,1.199,0.631,-0.686,-0.397,1.01,1
"3743",-1.274,55.36,0.299,-0.205,0.449,0.668,-1.2,-0.711,-0.243,-0.591,1.569,0.611,-0.985,-2.083,1.175,1
"4187",-0.438,76.15,-0.605,-0.205,0.512,0.594,-0.425,-1.132,-0.731,-0.636,0.99,1.126,-0.195,0.432,0.624,1
"3570",0.355,90,0.299,-0.778,-0.31,0.373,-0.528,-0.29,0.108,-1.109,0.784,0.667,0.02,-0.974,0.778,1
"4256",-0.438,187.57,4.823,5.523,-0.815,-6.343,0.454,5.605,-3.113,3.685,0.449,-5.377,-1.499,0.386,1.25,1
"5558",1.456,96.2,1.204,-0.532,0.196,-0.882,-0.218,0.973,-0.472,0.792,-0.873,-1.084,-0.478,-0.235,-1.516,1
"5729",0.355,76.69,-1.058,-0.205,0.449,-0.882,0.402,0.973,-0.09,2.104,-1.544,-2.146,0.642,1.497,-1.191,1
"5309",0.047,92.88,0.752,-0.614,0.385,-0.291,0.247,0.131,0.108,0.426,-0.774,-0.395,0.138,0.365,-0.908,1
"3219",-0.482,60.59,-0.605,-0.368,0.196,0.668,-0.993,-0.711,0.292,-1.033,0.906,0.754,0.443,-0.166,1.138,1
"2989",-0.702,62.81,-0.605,0.614,1.017,1.037,-0.218,-1.132,-0.67,-0.621,1.485,0.743,0.692,0.226,1.429,1
"979",-0.482,76.57,-0.605,0.695,1.397,0.447,0.66,-0.29,-0.579,-1.165,1.047,0.514,0.208,0.896,0.671,1
"1895",0.796,71.03,-0.153,1.432,1.649,1.332,0.712,-1.132,-0.793,0.045,1.927,1.019,0.339,-0.351,1.272,1
"5267",0.663,76.06,-1.058,-0.041,-0.31,1.111,0.144,-1.132,0.368,0.38,-0.542,1.136,0.255,-0.143,-0.267,1
"3282",0.091,119.15,0.752,0.041,-0.563,-1.398,0.144,1.394,0.032,0.548,-0.42,-1.538,-0.098,0.688,0.397,1
"1134",-1.362,59.9,-0.605,1.105,1.523,0.89,-0.683,-0.711,-0.166,-0.342,1.755,0.682,-0.602,-0.582,1.042,1
"3900",0.179,58.96,-0.605,-0.041,0.891,0.225,-0.063,-0.29,0.78,-1.231,1.142,0.34,-0.145,0.04,0.783,1
"1933",-0.041,234.86,0.299,-0.941,-0.057,0.225,0.144,-0.29,-1.128,-1.419,0.902,0.274,-0.148,-0.259,1.185,1
"7618",0.619,77.67,-1.058,-0.205,0.765,-0.291,0.764,0.552,0.292,-0.174,-0.351,-0.15,-0.014,0.848,-0.585,1
"7118",0.003,88.57,0.299,-0.368,0.638,0.004,0.712,0.131,-0.243,-0.118,-0.294,-0.599,-0.094,1.15,-0.557,1
"4686",0.884,71.29,-2.415,-0.45,-0.183,-1.029,-0.321,0.973,1.101,1.839,-1.548,-1.625,-2.145,-0.697,-1.64,1
"3171",-1.142,42.2,-0.605,0.041,0.006,1.111,-0.942,-1.132,-0.06,-0.601,0.894,1.193,0.531,-0.12,1.327,1
"4150",-0.482,285.77,0.299,-1.023,-0.247,0.152,-0.425,-0.29,-0.182,-1.272,0.814,0.355,-0.474,-0.631,1.278,1
"1817",0.135,245.95,1.204,0.123,-1.321,-0.144,-0.683,0.131,0.918,-1.079,0.414,0.412,-0.417,-0.328,0.973,1
"7283",0.179,83.89,-0.153,-0.205,0.701,0.225,1.332,-0.29,-1.281,-0.326,-0.115,0.019,1.731,1.104,-0.421,1
"3658",-0.702,264.93,-0.153,-0.287,0.322,0.668,-0.735,-0.711,0.902,-0.819,1.252,0.749,-0.525,-1.182,1.159,1
"6570",-0.438,86.12,-0.153,-0.532,-0.626,-0.734,-0.58,0.552,1.391,1.656,-1.639,-0.87,-0.501,0.573,-0.787,1
"867",0.311,84.56,-0.153,0.532,1.144,0.594,-0.631,-0.711,0.169,-1.201,1.051,0.498,0.255,1.219,0.827,1
"6756",-0.085,91.97,0.752,-0.123,-1.131,-0.513,-0.838,0.552,1.345,0.365,-0.763,0.024,-0.125,-0.951,-0.103,1
"5601",0.047,91.86,0.299,-0.123,0.828,-0.513,-0.063,0.131,0.414,-0.957,0.399,-0.441,-0.804,0.55,-0.66,1
"4209",-0.173,28.14,-0.605,0.123,0.701,0.816,-0.425,-0.711,0.001,-0.438,1.565,0.876,-0.209,0.178,1.293,1
"7374",2.117,88.95,0.299,-0.614,0.259,-0.66,0.505,0.973,1.009,0.848,-1.075,-0.523,-0.195,-0.974,-1.504,1
"1913",-0.217,193.49,1.656,-0.532,0.512,-0.291,0.247,0.131,-0.594,-0.774,1.553,0.105,-0.951,-0.051,1.598,1
